symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio,completeness_score
THRU,2025-03-21T10:55:18.311352,United Kingdom,Europe,Thruvision,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
GYC,2025-03-21T10:55:18.404975,Austria,Europe,Grand City,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MRS,2025-03-21T10:55:18.404975,United Kingdom,Europe,MRS PLC,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NCM,2025-03-21T10:55:18.450931,Switzerland,Europe,Newcrest Mining,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CPPG,2025-03-21T10:55:18.466931,United Kingdom,Europe,CPP Group,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
METSB,2025-03-21T10:55:18.482932,Finland,Europe,Metsa Board Oyj B,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TSLAUSD,2025-03-21T10:55:18.546591,Switzerland,Europe,Tesla,Unknown,USD,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
REDWPH,2025-03-21T10:55:18.561852,Sweden,Europe,Redwood Pharma,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MATRA,2025-03-21T10:55:18.625047,Sweden,Europe,Matra Petroleum,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SWOR,2025-03-21T10:55:18.671421,France,Europe,Sword,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CBOT,2025-03-21T10:55:18.734199,France,Europe,CBO Territoria,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
